Local;Estado;Cliques;Impr.;CTR;Código da moeda;CPC médio;Custo;Conversões;Custo / conv.;Taxa de conv.
Santo André; --;298;2.059;14,47%;BRL;1,87;557,24;22;25,33;7,38%
Diadema; --;114;816;13,97%;BRL;2,33;265,42;12;22,12;10,53%
São Bernardo do Campo; --;259;2.780;9,32%;BRL;2,56;663,25;15;44,22;5,79%
São Caetano do Sul; --;27;372;7,26%;BRL;2,22;60,07;1;60,07;3,70%
;Total: Locais;698;6.027;11,58%;BRL;2,21;1545,98;50;30,92;7,16%
;Total: Conta;1.254;12.369;10,14%;BRL;2,09;2619,17;86;30,46;6,86%
